iter	Passed	Remaining
774	13024	3781
775	13040	3764
776	13055	3747
777	13071	3729
778	13087	3712
779	13104	3696
780	13120	3679
781	13142	3663
782	13159	3647
783	13176	3630
784	13200	3615
785	13220	3599
786	13248	3585
787	13275	3571
788	13300	3556
789	13321	3541
790	13342	3525
791	13368	3510
792	13389	3495
793	13414	3480
794	13435	3464
795	13454	3448
796	13478	3433
797	13501	3417
798	13521	3401
799	13543	3385
800	13564	3369
801	13582	3353
802	13602	3337
803	13620	3320
804	13640	3304
805	13660	3288
806	13680	3271
807	13699	3255
808	13719	3239
809	13744	3223
810	13764	3207
811	13782	3191
812	13807	3175
813	13826	3159
814	13847	3143
815	13876	3128
816	13896	3112
817	13915	3096
818	13941	3081
819	13961	3064
820	13983	3048
821	14011	3034
822	14030	3017
823	14055	3002
824	14074	2985
825	14095	2969
826	14121	2954
827	14141	2937
828	14161	2921
829	14182	2904
830	14204	2888
831	14223	2872
832	14243	2855
833	14262	2838
834	14282	2822
835	14300	2805
836	14316	2788
837	14334	2771
838	14352	2754
839	14370	2737
840	14389	2720
841	14406	2703
842	14424	2686
843	14446	2670
844	14466	2653
845	14486	2636
846	14502	2619
847	14521	2602
848	14540	2586
849	14560	2569
850	14578	2552
851	14596	2535
852	14614	2518
853	14633	2501
854	14651	2484
855	14669	2467
856	14687	2450
857	14715	2435
858	14733	2418
859	14751	2401
860	14769	2384
861	14788	2367
862	14804	2350
863	14824	2333
864	14843	2316
865	14861	2299
866	14879	2282
867	14898	2265
868	14916	2248
869	14934	2231
870	14954	2214
871	14969	2197
872	14990	2180
873	15008	2163
874	15025	2146
875	15042	2129
876	15058	2112
877	15076	2094
878	15092	2077
879	15108	2060
880	15125	2043
881	15144	2026
882	15162	2009
883	15180	1991
884	15197	1974
885	15218	1958
886	15236	1941
887	15254	1924
888	15274	1907
889	15294	1890
890	15311	1873
891	15329	1856
892	15346	1838
893	15375	1823
894	15395	1806
895	15418	1789
896	15439	1772
897	15455	1755
898	15473	1738
899	15492	1721
900	15514	1704
901	15536	1687
902	15557	1671
903	15577	1654
904	15604	1637
905	15621	1620
906	15639	1603
907	15658	1586
908	15676	1569
909	15697	1552
910	15714	1535
911	15733	1518
912	15752	1501
913	15769	1483
914	15787	1466
915	15803	1449
916	15821	1432
917	15838	1414
918	15854	1397
919	15870	1380
920	15889	1362
921	15905	1345
922	15924	1328
923	15941	1311
924	15961	1294
925	15979	1276
926	15995	1259
927	16020	1242
928	16039	1225
929	16055	1208
930	16071	1191
931	16088	1173
932	16104	1156
933	16122	1139
934	16142	1122
935	16161	1105
936	16178	1087
937	16194	1070
938	16211	1053
939	16230	1035
940	16247	1018
941	16265	1001
942	16281	984
943	16297	966
944	16315	949
945	16333	932
946	16350	915
947	16367	897
948	16383	880
949	16399	863
950	16417	845
951	16437	828
952	16455	811
953	16472	794
954	16490	777
955	16508	759
956	16527	742
957	16545	725
958	16564	708
959	16581	690
960	16598	673
961	16620	656
962	16637	639
963	16656	622
964	16673	604
965	16690	587
966	16707	570
967	16724	552
968	16741	535
969	16757	518
970	16773	500
971	16788	483
972	16806	466
973	16824	449
974	16840	431
975	16858	414
976	16875	397
977	16896	380
978	16917	362
979	16934	345
980	16953	328
981	16970	311
982	16987	293
983	17005	276
984	17024	259
985	17041	241
986	17058	224
987	17076	207
988	17092	190
989	17108	172
990	17128	155
991	17147	138
992	17163	120
993	17180	103
994	17197	86
995	17216	69
996	17233	51
997	17250	34
998	17268	17
999	17284	0
